author,citations,description,title,url
C Ess,,"… Kantian thought thus presents itself as a primary … point beyond Kant’s ethical contributions 
to additional aspects of Kant’… Myskja applies Kant’s Categorical Imperative and related Kantian …",Kant and information ethics,https://link.springer.com/article/10.1007/s10676-008-9158-6
SB Thomas,,"… Categorical Imperative, on the part of Jesus himself; and systematic (rational) recognition of 
Jesus as instancing the Supreme Value which the Kantian … of the categorical imperative. The …",Jesus and Kant: A problem in reconciling two different points of view,https://www.jstor.org/stable/2252642
"A Broadie, EM Pybus",,"… presents the following formulation of the categorical imperative: 'Act in such a … Kant does 
not wish to regard animals as persons, but wishes to put them in the category of 'things' (Kant's …",Kant's treatment of animals,https://www.cambridge.org/core/journals/philosophy/article/kants-treatment-of-animals/8DFB733E06B245687DBB84E3A4BDC11A
J Skidmore,,"… Thus far we have neglected Kant's first formulation of the categorical imperative, in which 
he commands us to act only on maxims that we could will to become universal laws.It seems …",Duties to animals: The failure of Kant's moral theory,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jrnlvi35&section=53
G Ostrove,,"… Adorno’s adoption of Kant’s “categorical imperative” for framing his perception of … considerable, 
had already written of “the categorical imperative to overthrow all relations in which man …","Adorno, Auschwitz, and the New Categorical Imperative",https://brill.com/view/journals/pgdt/12/1-2/article-p298_19.xml
GP Fletcher,,"… turn vaguely to Kant's categorical imperative for inspiration.6 Yet Kant's precise views on law 
and on … Of course, Kant cannot have the final word on the way his thought should be used in …",Law and morality: a Kantian perspective,https://www.jstor.org/stable/1122670
O Schulte - philpapers.org,,"… Kant taught us that there are two kinds of norms: Categorical imperatives that one ought to 
follow regardless of one's personal aims and circumstances, and hypothetical imperatives that …",Means-ends rationality and categorical imperatives in empirical inquiry,https://philpapers.org/rec/SCHMRA-2
CW Churchman,,"… ) Kant makes his well known distinction between hypothetical and categorical imperatives. … 
distinction between two hypothetical imperatives, those of skill and those of prudence. The …",Kant—a decision theorist?,https://link.springer.com/article/10.1007/BF00132455
"A Muxel, A Muxel",,"… The imperative is categorical in the sense Kant gives to the word. It is unconditional and 
does not tolerate compromise. This intransigence is in equal measure to the personal …",Categorical Imperative,https://link.springer.com/chapter/10.1057/9781137395597_5
MD White,,"… In Kant’s ethics, duties are generated when plans of … the categorical imperative. In general, 
if one proposes a maxim of “I will do x” but this maxim is rejected by the categorical imperative…","Adam Smith and Immanuel Kant: On markets, duties, and moral sentiments",https://link.springer.com/article/10.1007/s12143-009-9043-z
A Reath - 1992 - JSTOR,,"… Kant recognized. Part 3, ""The Norm for Moral Judgment,"" contains Sullivan's account of the 
categorical imperative, while part 4 covers Kant's … Sullivan argues that Kant views actions as …",Immanuel Kant's Moral Theory.,https://www.jstor.org/stable/2185941
S Engstrom,,"… There is thus reason to suppose that, for Kant, we would not be bound by imperatives at all 
if we were not bound by the categorical imperative. In his most recent book, Kant's Theory of …",Allison on rational agency,https://www.tandfonline.com/doi/abs/10.1080/00201749308602331
SM Kaye - 2017 - collected.jcu.edu,,"The Categorical Imperative Guidebook explores the philosophical bases behind the concepts 
introduced in the novel. These include the philosophy of Socrates, Aristophanes, John …",The Categorical Imperative: Guidebook,https://collected.jcu.edu/fac_bib_2017/24/
M Rohlf,,"… manifestation to us as a categorical imperative (as a law of … categorical imperative do reflect 
human nature and the contingencies of human life. Despite these differences, however, Kant …",Immanuel kant,https://plato.stanford.edu/entries/kant/?rid=903123293s840c38
KKA Abraham,,"… at the concept of the categorical imperative as a pivotal principle in Kant’s deontology and 
Mill… in-depth explanation of the categorical imperative, we need to explain what Kant means by …",Eclectic approach to the categorical imperative and pleasure,https://www.ajol.info/index.php/og/article/view/187802
TN Pelegrinēs - 1980 - philpapers.org,,"… How does Kant justify the universal objective validity of the law of right?… A messy derivation 
of the categorical imperative.… The importance of a moral education in Kant's doctrine of virtue.…",Kant's Conceptions of the Categorical Imperative and the Will,https://philpapers.org/rec/PELKCO
D Wiggins,,"… interest in categorical imperatives (postponed by Kant till his Sec tion 3) and our grasp of 
the distinction between valid and invalid imperatives. Such a person will say that Kant should …",Categorical requirements: Kant and Hume on the idea of duty,https://www.jstor.org/stable/27903225
KC Murphy - 2015 - search.proquest.com,,"… The guide also adheres to two of Kant’s Categorical Imperatives as the ethical basis and 
marker. To create the guide, the author relied on archival, or documentary, research to provide …","Ethical crisis communication on social media: Combining situational crisis communication theory, stakeholder theory, &amp; Kant's categorical imperatives",https://search.proquest.com/openview/a3309d92c8c80d81604e99343588b016/1?pq-origsite=gscholar&cbl=18750
E GOKCEKUYU,,"… Kant goes further and argues that a virtuous life is categorically (unconditionally) 
imperative (necessary) in order to be able to obey our duties (Kant 2020:47). …",Practice of Queueing as a Categorical Imperative for a Fair Society,https://dergipark.org.tr/en/pub/japss/issue/76942/1208486
P Kleingeld,,"… legislation before comparing these to Kant’s discussion of the Principle of Autonomy. In 
particular, I argue that the relation between the Categorical Imperative and the “universal law” …",Moral Autonomy as Political Analogy: Self-Legislation in Kant's Groundwork and the Feyerabend Lectures on Natural Law,https://research.rug.nl/files/74548832/moral_autonomy_as_political_analogy_with_bibliography.pdf
CM Korsgaard,,"… categorical imperative. Later I will try to describe what I think is involved in treating a philosophical 
problem in a distinctively Kantian … ask: if we suppose Kant is correct in thinking that we …",Rawls and Kant: On the Primacy of the Practical,https://dash.harvard.edu/bitstream/handle/1/12694643/Korsgaard.Primacy.Practical_0.pdf
Z Chiron,,"… Secondly, I present Kant’s deontological categorical imperative as an impartial moral 
framework that breaks Hills’ equivalence between egoism and impartiality and thus does not fall to …",Affirming Impartiality: A rejection of Alison Hills' dualism of practical reason through the categorical imperative,https://www.ethicajournal.com/_files/ugd/eeb731_d54ed3f280104c0da1f7dcef939b27d7.pdf#page=4
G Tozer - 1996 - spectrum.library.concordia.ca,,"… Kant claimed that the categorical imperative was this sort of judgement. This requires examining 
Kant's … this moral to Kant's formulations of the categorical imperative in The Foundations …",The nature of synthetic judgements a priori and the categorical imperative,https://spectrum.library.concordia.ca/id/eprint/250/
M Sticker,,"… of the Categorical Imperative (Philosophical Education); and (iv) education can enhance 
agents’ capacity to apply general moral principles to concrete cases (Education of Judgement). …",Educating the common agent: Kant on the varieties of moral education,https://www.degruyter.com/document/doi/10.1515/agph-2015-0014/html
F MARTY - 1955 - JSTOR,,"… L'argument ne serait pas décisif, pourtant» si Kant ne nous … même de la réflexion morale de 
Kant : loin de déduire le devoir … Reprocher à Kant son légalisme est donc sans fondement. L'…",The categorical imperative,https://www.jstor.org/stable/43035844
I ,,"… categorical imperative may not perhaps supply us also with the formula of it, containing the 
proposition which alone can be a categorical imperative… a hypothetical imperative in general I …",Fundamental principles of the metaphysics of morals,https://books.google.com/books?hl=en&lr=&id=jRvrvXcGfc4C&oi=fnd&pg=PP1&dq=kant+categorical+imperative+&ots=b_70IWbXe-&sig=pawXJAIB8IPUJowew3kL_L_0DSE
RH Wines - academia.edu,,"… argues that Kant’s Formula of a Law of Nature formulation of the categorical imperative in part 
… According to Kant’s analysis of common morality in the Groundwork of the Metaphysics of …",The Nature of Moral Action: Deriving Kant's Formula of a Law of Nature Formulation of the Categorical Imperative,https://www.academia.edu/download/35643016/Ryan_H._Wines_Writing_Sample_2014_2.pdf
"HB Acton, HB Acton",,"… It has also been pointed out that when Kant was writing the Groundwork, a … Kant was weaving 
this idea into his exposition in order to show that his account of the Categorical Imperative …",The Principle of Autonomy and other Formulations of the Categorical Imperative,https://link.springer.com/chapter/10.1007/978-1-349-00761-5_7
NT Potter Jr - 1994 - digitalcommons.unl.edu,,"… categorical imperative, and that it is, for that reason, if not for others, worth detailed 
attention. In the present essay I wish to consider the Kantian … Henry Allison calls Kant's ""Incorporation …",Maxims in Kant's moral philosophy,https://digitalcommons.unl.edu/philosfacpub/13/
TE Hill,,"… Immanuel Kant’s position on the morality of violence has long been puzzling. That Kant is a 
… ; and any of the forms of the Categorical Imperative, especially the humanity formula, seem to …",A Kantian perspective on political violence,https://link.springer.com/article/10.1023/A:1009724705753
ML Perold - 2010 - core.ac.uk,,"… As Allen Wood (2008: 1) explains, if Kant‟s ethics lead to the extreme result that lying is never 
morally permissible, then we may be able to show that “there must be something fundamentally …",Does Immanuel Kant's categorical imperative commit him to the view that lying is always morally wrong?,https://core.ac.uk/download/pdf/39668965.pdf
J Timmermann,,"… We simply cannot make our maxims tit the categorical imperative in this way. We act on the 
maxim that incorporates an objective suggested by an incentive, not on the maxim on which …",Kant's puzzling ethics of maxims,http://www.pdcnet.org/pdc/bvdb.nsf/showfreearticle?open&url=/8525737F00588A37/file/2D191B89BC4B356A8525761E00531EBA/$FILE/harvardreview_2000_0008_0001_0039_0052.pdf
D Greimann - 2003 - philpapers.org,,"… This paper aims to reconstruct Kant’s derivation with the help of the resources of … by Kant 
consists in deriving the formula from the success-conditions of giving categorical imperatives. …",Kants Derivation of the Formula of the Categorical Imperative from Its Mere Concept,https://philpapers.org/rec/GREKDO
AH Rennesland,,"… Kant’s ethics via the good will to the duty espoused through the Categorical Imperative (… 
its first two formulations read against the backdrop of Kant’s later Enlightenment essay.(2) I …",The harmony of moral education: The categorical imperative and Tien Xia Da Tong,https://books.google.com/books?hl=en&lr=&id=VyE-EAAAQBAJ&oi=fnd&pg=PA138&dq=kant+categorical+imperative+&ots=CrjvL0f5gK&sig=3-5S1zUR_ALiu7F9HHIYdeJdlTM
MK Green,,"… principles of how the Categorical Imperative operates in a … Kant's thought. Instead, the aim 
is to clarify the fundamental principles underlying the application of the Categorical Imperative …",Using Nature to Typify Freedom: The Application of the Categorical Imperative,https://www.pdcnet.org/intstudphil/content/intstudphil_1982_0014_0001_0017_0026
TE Hill - 2012 - books.google.com,,"… view is the framework for normative ethics that I develop from Kant’s later formulations of 
the Categorical Imperative, the formulas of humanity, autonomy, and a kingdom of ends. Many …","Virtue, rules, and justice: Kantian aspirations",https://books.google.com/books?hl=en&lr=&id=w-qPrAx_nnQC&oi=fnd&pg=PP1&dq=kant+categorical+imperative+&ots=aYAkS6sF_F&sig=lakEQp2ovhosvjCSyGG9SeKkl4o
JC Christopher,,"… These are Kantian criteria, and, as we might expect, Kohlberg regards the categorical 
imperative as a quintessentially Stage 6 moral principle. Rawls (1971), whose work is frequently …",Moral development theory: A critique of its Kantian presuppositions,https://www.sciencedirect.com/science/article/pii/S0273229796900015
PR Frierson,,"… In other words, one who truly acts in accordance with the categorical imperative commits … 
disposition to act on the categorical imperative. This account shows how Kant can say that ""…",Character and evil in Kant's moral anthropology,https://muse.jhu.edu/pub/1/article/205403/summary
KM Pathak,,"… -Gita's 44 nishkama karma and Kant's categorical imperative. Kant tried to find a way of … 
duty's sake––popularly known as the principle of the categorical imperative. His idea of the …",NISHKAMA KARMA AND THE CATEGORICAL IMPERATIVE: A PHILOSOPHICAL REFLECTION ON THE BHAGAVAD-GITA,https://www.academia.edu/download/40745479/IJAE_2013.pdf
I MUHATIA - 2022 - repository.tangaza.ac.ke,,"… , as required under Kantian Categorical Imperatives, they are … The Categorical Imperative 
formulation of “kingdom of ends” … at Kant’s moral theory, and how the Categorical Imperatives …",THE PLACE OF MORALITY IN CORPORATE SOCIAL RESPONSIBILITY: FROM KANT'S PERSPECTIVE,https://repository.tangaza.ac.ke/handle/20.500.12342/1408
M Bramer,,"… moral worth for a Kantian because of the requirement of impartiality. Although Kantian 
moral theory is an impartial theory, I argue that the categorical imperative in the Formulation of …",The importance of personal relationships in Kantian moral theory: A reply to care ethics,https://www.cambridge.org/core/journals/hypatia/article/importance-of-personal-relationships-in-kantian-moral-theory-a-reply-to-care-ethics/CC4F2EC69FBE53A56A0307635E23E019
D Schönecker - 2013 - dspace.ub.uni-siegen.de,,"… On the standard reading, Kant’s claim is that a free will is under the moral law as a Categorical 
Imperative (Cl); hence, once it is shown that we are free it is shown that we are obliged by …",""" A free will and a will under moral laws are the same"": Kant's concept of autonomy and his thesis of analyticity in Groundwork III",https://dspace.ub.uni-siegen.de/handle/ubsi/1136
M Klaassen - klaassen.me,,"… and argument, we need to define the categorical imperative … Kant’s CI is “[…] the supreme 
principle of morality […]” (2011, … Kant himself says in the groundwork that there is one CI and …","The Categorical Imperative, its formulae, and the paradox of equivalence",http://klaassen.me/wp-content/uploads/2020/04/Writing-Sample-4.pdf
KR Westphal,,"… Consequently, we don't need to use any test of the Categorical Imperative to determine 
whether actions that violate a legitimate social institution are ethically proscribed. If property is …","Kant, Hegel, and determining our duties",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jaret13&section=23
AC Baier,,"… the categorical imperative, covering behavior that expresses natural as well as artificial virtues.' 
My view is that it is not so easy to detach Kantian … implications, as Kant himself perceived …",Moralism and cruelty: Reflections on Hume and Kant,https://www.journals.uchicago.edu/doi/pdf/10.1086/293520
C Rentmeester,,"… So, we can see that the Categorical Imperative helps to approach anthropogenic climate … 
An additional asset of the Categorical Imperative is the universalizability not only in space but …",A kantian look at climate change,https://www.pdcnet.org/eip/content/eip_2010_0011_0001_0076_0086
"IY Larionov, AV Tarasova",,"… Kant, who is usually regarded as the main authority for strict … We try to prove that it is not 
the categorical imperative, but the … in Kantian deontology, taking into consideration that Kant …",The influence of moral dilemmas upon the transformation of the kant's categorical imperative,https://journals.rudn.ru/philosophy/article/view/16978
N Van Long,,"The purpose of this paper is to model the influence of Kantian moral scruples in a dynamic 
environment. Our objectives are two-fold. Firstly, we investigate how a Nash equilibrium …",Kantian Categorical Imperative and Dynamic Games of Common-Property Resource Exploitation When Self-Image Matters,https://ideas.repec.org/p/cir/cirwor/2019s-26.html
P Čičovački,,"… normal understanding of the good will and the categorical imperative; he would also see that 
the … to discuss Kant’s account of the categorical imperative. An imperative is generally under…",Kant's Ethics of the Categorical Imperative: A Goethean Critique,https://www.pdcnet.org/philotheos/content/philotheos_2008_0008_0259_0274
RP Wolff - 1964 - JSTOR,,"… Gregor makes much of the fact that Kant meant teleological consistency, and not logical 
consistency, in this account of the categorical imperative. The problem with immoral maxims, …",Laws of Freedom: A Study of Kant's Method of Applying the Categorical Imperative in the Metaphysik der Sitten,https://www.jstor.org/stable/2023485
T Anna - 2017 - dspace.spbu.ru,,"… categorical imperative. The thesis adduces a variety of interpretations of Kant’s categorical 
imperative … that according to contemporary authors Kant’s categorical imperative can’t be …",Transformation of the categorical imperative in the history of ethics,https://dspace.spbu.ru/bitstream/11701/7414/3/reviewSV_st002922_Perov_Vadim_YUrevich_%28supervisor%29%28Ru%29.txt
A McNicholl,,"… good, and finally, imperatives in general, ending with a statement of the problem to be faced 
in Kant's final section. In the third book, he discusses the categorical imperative in its various …",The Categorical Imperative: A Study in Kant's Moral Philosophy by HJ Paton,https://muse.jhu.edu/pub/16/article/644719/summary
M Markel,,"… In this essay, I want to argue that Immanuel Kant’s second formulation of the categorical 
imperative, along with John Rawls’s concept of the ideal society, provide, a powerful ethical …",An ethical imperative for technical communicators,https://ieeexplore.ieee.org/abstract/document/222686/
H Qasemi,,"… Kant’s categorical ideas. The present paper analyzes Kant’s view of the categorical imperative 
… relying on the philosophical ideas of Mulla Sadra and some of the commentators of Kant. …",A Critical Study and Analysis of Kant's Ideas concerning the Validity of Categorical Imperative based on Mulla Sadra's View,https://rimag.ricest.ac.ir/en/Article/23227
P Brinca,,"… The purpose of this essay is to find whether Kant’s Categorical Imperative (KCI) is compatible 
with instrumental rationality, and if so, under what circumstances. KCI is often mentioned …",Are Kant's categorical imperative and instrumental rationality incompatible? The case for the prisoner's dilemma,https://mpra.ub.uni-muenchen.de/id/eprint/62133
J Harris,,"… What should be noted is the advantage of reading Kant’s claim about unity this way is that we 
… of how we can unify the Kant’s three formulations of the categorical imperative, and he may …",Can Kant's Three Formulations of the Categorical Imperative Be Unified?,https://www.pdcnet.org/swphilreview/content/swphilreview_2012_0028_0002_0091_0094
"S Kirk, JE Raven - academia.edu",,"… Looking to their discussions of the Hypothetical Imperative, it will become … Categorical 
Imperative operates in the light of that paradigm. I will then examine their rendering of the Kantian …",Can the Categorical Imperative Test Final Ends?,https://www.academia.edu/download/32811117/1-21-14.pdf
JE Atwell,,"… 15 Dietrichson's claim supports the position that, for Kant, the categorical imperative commands 
that we act from duty (the doing of which amounts at least to conscientiously insuring that …",Universality and the categorical imperative,https://link.springer.com/chapter/10.1007/978-94-009-4345-2_4
R Greenberg,,"A new book by Stephen Engstrom repeats a criticism of Bruce Aune's of Kant's derivation of 
the universalizability formula of the categorical imperative. The criticism is that Kant omitted …",On a Presumed Omission in Kant's Derivation of the Categorical Imperative,https://www.cambridge.org/core/journals/kantian-review/article/on-a-presumed-omission-in-kants-derivation-of-the-categorical-imperative/88DB2E57E9CEA4716DC12921F1F026B0
D Becker,,"… Kant’s argument for the fundamental principle of how one ought to act, called the “categorical 
imperative,” … we will focus on Kant’s argument for the categorical imperative, and see how it …",Kant's moral and political philosophy,https://books.google.com/books?hl=en&lr=&id=0MWHAgAAQBAJ&oi=fnd&pg=PA68&dq=kant+categorical+imperative+&ots=h9ZWs3wzoj&sig=j0ZcItApNStpzgqTUpe8mKINuOU
"GM Lahat, GM Lahat",,"… we must admit that Kant had managed to develop an innovative moral philosophy, the 
long-standing trademark of which is the famous categorical imperative: “ Act only according to that …",Setting the Moral Principle as a Categorical Imperative,https://link.springer.com/chapter/10.1057/9781137264381_6
UJ EZUGWU,,"… This work, using Kant's categorical imperative, counters the opinion of the proabortionists that 
… The work adopts Kant's idea of goodwill, which discourages one from performing an action …",A PHILOSOPHICAL APPRAISAL OF ABORTION USING KANT'S CATEGORICAL IMPERATIVE,http://www.academicexcellencesociety.com/a_philosophical_appraisal_of_abortion.pdf
TM Beckett - 2017 - ourarchive.otago.ac.nz,,"… I will argue that what Kant categorizes as duties … imperatives of prudence and not categorical 
imperatives of morality. In sum I will argue that if Kant’s account of hypothetical imperatives …",Is Your Legacy To Yourself Or To Others And What Is Important For Morality? Modifying Kant's Categorical Imperative.,https://ourarchive.otago.ac.nz/handle/10523/7049
TA Gilly,,"… ground of Kant's categorical imperative. Habermas' extrapolation of the categorical imperative 
… Habermas' practical ethics supplant the monologue of the Kantian subject by the dialogue …",What Has Kant to do with Terrorism-Part I-Categorical Imperative,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/homlndsr1&section=17
G Aznabour,,"… The categorical imperative becomes for Kant, the principle of reason and universalizability, 
… according to Kant, is categorical and must be equally binding on everyone. This idea of Kant, …",The Golden Rule Principle in an African Ethics and Kant's Categorical Imperative: A Comparative Study on the Foundation of Morality,https://wph.atu.ac.ir/article_6108_en.html
A Farr,,"… is necessarily embedded in the categorical imperative. The second … of Kant’s categorical 
imperative as a universal moral principle. I will try to make clear how the categorical imperative …",Can a philosophy of race afford to abandon the kantian categorical imperative?,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-9833.00121
O O'Neill,,"… , as Kant puts it, on substituting generality (and their own exemption) for universality. (424) 
The Categorical Imperative is a thought experiment that we can reject: that is why Kant must …",Universal laws and ends-in-themselves,https://www.jstor.org/stable/27903145
S Körner - 1991 - degruyter.com,,"… categorical imperative correctly and that Kant in … categorical imperative was (correctly or 
incorrectly) applied, then it makes sense to distinguish between various conjectures of a Kantian …",On Kant's conception of science and the critique of practical reason,https://www.degruyter.com/document/doi/10.1515/kant.1991.82.2.173/html
M Yudanin,,"… of lies and thus their incompatibility with the moral law as Kant establishes it. Can the 
Categorical Imperative also mandate having specific maxims,6 thus providing a basis for …",Can positive duties be derived from Kant's Categorical Imperative and is there an alternative?,https://www.academia.edu/download/33173340/Can_positive_duties_be_derived_from_Kants_Categorical_Imperative.pdf
S Goosey,,"… Kant's categorical imperative to the morality of abortion. The author argues that the first 
formulation of the categorical imperative… class of persons, according to Kant, are rational beings. …",Abortion and the Categorical Imperative,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/ucljurev17&section=15
MWL Eickemeyer - 1994 - elibrary.ru,,"… agent and to provide a more complete understanding of the categorical imperative. … to 
Kant''s theory is that the emphasis on the formal and impartial categorical imperative does not …",The relationship of the duties of virtue to the categorical imperative.,https://elibrary.ru/item.asp?id=5747272
D Binyu,,"… by Kant's ethics and utilitarianism. This paper argues that Kant didn't build up a theory on 
the ""Moral Saints. "" On the contrary, Kant completely opposes this kind at Perfectionism. …",Kant Opposes the Moral Saints: From the Categorical Imperative to the Moral Perfection,https://search.proquest.com/openview/b2f2a996c1de16c208121fbf87361059/1?pq-origsite=gscholar&cbl=2044942
GDN Tozer - 1998 - elibrary.ru,,"… Kant claimed that the categorical imperative was this sort of judgement. This requires examining 
Kant… this moral to Kant''s formulations of the categorical imperative in The Foundations of …",The nature of synthetic judgements a priori and the categorical imperative (Immanuel Kant),https://elibrary.ru/item.asp?id=5508795
M Cholbi,,"… better positioned to understand why Kant concludes that the Categorical Imperative is the 
supreme … versions of the Categorical Imperative reflect Kant’s distinctive theory of moral value. …",Understanding Kant's ethics,https://books.google.com/books?hl=en&lr=&id=VpM6DQAAQBAJ&oi=fnd&pg=PR9&dq=kant+categorical+imperative+&ots=_cjWgEJ-Ae&sig=5BAUm5VL6uwCRJYMo29GwYRPCjk
CM Korsgaard,,"… In the argument leading up to the second formulation of the categorical imperative, the 
Formula of Humanity as an end in itself, Kant says: Beings the existence of which rests not on our …",A Kantian case for animal rights,https://dash.harvard.edu/bitstream/handle/1/34903186/Korsgaard.A.Kantian.Case.for.Animal.Rights.pdf;sequence=1
JE Mariano,,"… First, I summarize Kantian ethics in his … categorical imperative since understanding Kantian 
morality is a precondition for his political discourse. Second, I introduce the Kantian view of …",Kant's Categorical Imperative in International Relations: A System of Ethical State Behavior,https://politicalscience.nd.edu/assets/431575/beyond_politics_spring_2021_final_version_1_1_.pdf#page=100
MD Mar,,"… between Kant and Smith: the Smithian Categorical Imperative. The SCI is broken down 
into its ‘principal formulation’ and its ‘subsidiary imperative.’ Here is the principal formulation: …",The Smithian Categorical Imperative,https://biblioscout.net/content/pdf/99.140005/arsp201202023301.pdf
MM Rossi - 1949 - JSTOR,,"… Kant's point, so that the argument of Chapter XXIV of this book (which deals with the ""transcendental 
deduction"" of the categorical imperative) … "" according to Kant-a meaning which gives …",The Categorical Imperative: A Study in Kant's Moral Philosophy,https://www.jstor.org/stable/2019922
P Capps,,"… of Kant’s supreme moral principle — the categorical imperative — and this leaves his theory 
open to attack from those of a more sceptical persuasion. Secondly, and regarding (b), the …",The Kantian Project in modern international legal theory,https://academic.oup.com/ejil/article-abstract/12/5/1003/422284
WW Clohesy,,"… Accordingly, Kant's final formulation ofthe categorical imperative states, ""So act as ifyou 
were always through your maxims a law-making member ofa universal kingdom of ends.""44 …",On Rereading the Categorical Imperative,https://www.pdcnet.org/gfpj/content/gfpj_1985_0010_0002_0057_0074
DV Auweele - 2012 - JSTOR,,"… Mark Walker heeft er enige tijd over gedaan om zijn monografie Kant, Scho penhauer and 
Morality. Recovering the Categorical Imperative gepubliceerd te krij gen. Bouwend op zijn …","Kant, Schopenhauer and Morality. Recovering the Categorical Imperative",https://www.jstor.org/stable/23530413
JN Jordan,,"… Since Kant believed that the Categorical Imperative is ""the supreme principle of morality,"" ^ 
… could be mistaken in thinking that the Categorical Imperative is valid, and so he believed it …",On Justifying the Categorical Imperative,https://www.pdcnet.org/schoolman/content/schoolman_1980_0057_0003_0243_0258
C Onof - 2012 - eprints.bbk.ac.uk,,"… Book synopsis: Immanuel Kant is widely considered to be … This comprehensive and 
accessible companion to Kant's … and philosophical context in which Kant wrote and the various …",The categorical imperative,https://eprints.bbk.ac.uk/id/eprint/11245
E Widmer,,"… on socialist interpretations of the categorical imperative (CI) in … tried to combine socialism 
with Kantian ethics (Cohen 1877; … gave reason to deal with Kantian normative ethics. Before …",The Impact of FA Lange's History of Materialism on Socialist Interpretations of Kant's Categorical Imperative,https://elibrary.ru/item.asp?id=37320008
R Dean - 2006 - books.google.com,,"… So, there are still important questions to be settled about the Categorical Imperative’s … main 
ideas of Kant’s ethics and with the particular passages in which Kant discusses humanity as …",The value of humanity in Kant's moral theory,https://books.google.com/books?hl=en&lr=&id=3hFREAAAQBAJ&oi=fnd&pg=PR7&dq=kant+categorical+imperative+&ots=rUq3SDnrQr&sig=WV7QafsJYBaLtky0irrhWlOWnD8
M Mejia - 2016 - scholarworks.gsu.edu,,"… In this section, I spell out Kant’s arguments for the idea that principles that constitute categorical 
imperatives must have objective necessity, and explain Kant’s reasons for believing that …",Why Does Kant Think That Moral Requirements Are Categorical Imperatives'?,https://scholarworks.gsu.edu/philosophy_theses/181/
RM Robinson,,"… Kant offered his categorical imperative as the basis for a process that reflects common 
thinking about methods for deriving practical moral maxims and duties. This process is shown …",Kant's Categorical Imperative and Moral Duties,https://link.springer.com/chapter/10.1007/978-3-319-99792-6_2
V Kruglyak,,"Kruglyak 1 A Challenge to the Categorical Imperative We shall not “ask for the meaning of a 
word in isolation, but only in the Page 1 Electronic copy available at: http://ssrn.com/abstract=…",A Challenge to the Categorical Imperative,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1841063
JW Ray,,"… So we might call 'rational' every argument which follows, in the field of persuasion, Kant's 
categorical imperative, because it claims to make a case only for arguments which would be …",Perelman's universal audience,https://www.tandfonline.com/doi/pdf/10.1080/00335637809383442
TE Hill Jr,,"… Do not the reasons implicit in the Categorical Imperative, which must be the ground for 
allowing passive resistance to legal authority, also justify active participation in revolution in some …",Questions about Kant's opposition to revolution,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jrnlvi36&section=29
O O'Neill,,"… To make it plausible that the Categorical Imperative is a … meet the test of the Categorical 
Imperative we refuse to base our … In accepting the Categorical Imperative we accept the moral …",I. Kant after virtue,https://www.tandfonline.com/doi/abs/10.1080/00201748308602007
W Schwarz - 1969 - JSTOR,,"… appear on Kant's concept of the categorical imperative at a … He is convinced that Kant was 
""a great thinker."" At the same … a ""puzzling"" work, for which ""Kant's own exposition is mainly to …",The Concept of the Categorical Imperative: A Study of the Place of the Categorical Imperative in Kant's Ethical Theory,https://www.jstor.org/stable/2379921
R Hanna,,"… of Kant’s aspirations after the first Critique, I present Kant’s potential rejoinder to Horkheimer 
and Adorno…. [namely,] Kant’… Hitler has forced a new categorical imperative upon humanity …","Kant, Adorno, and Autonomy",https://www.academia.edu/download/65396596/hanna_kant_adorno_and_autonomy_march17.pdf
MD White,,"… In their comment, Ballet and Bazin offer insightful and constructive criticism of my 2004 paper 
that integrated Kant's categorical imperative into the economic model of choice. In this reply…",Can homo economicus follow Kant's categorical imperative? A reply,https://www.sciencedirect.com/science/article/pii/S1053535705000168
N Sherman,,"… Kant a way of applying the Categorical Imperative and its a priori motive congenially to the 
human case. This forces the question of just how tolerant Kant … The fact that for Kant nothing …",The place of emotions in Kantian morality,https://link.springer.com/chapter/10.1057/9781137276650_2
AB Johnson - 2001 - search.proquest.com,,"… of Kant's formulations of the Categorical Imperative should be … types of objection to the 
Categorical Imperative that rest on … against several leading Kantian ethicists that Kant takes all …",Insufficient reason: an interpretation and critique of Kant's categorical imperative,https://search.proquest.com/openview/e6ebf3e1bddbec199acc5680c88b969f/1?pq-origsite=gscholar&cbl=18750&diss=y
"A Baqeri, M Zali",,"… Kant’s commentators have no agreement on how many characterizations Kant has indicated… 
are presented as characterizations of the Categorical Imperative or the Supreme Principle of …",An Examination of the meaning of Categorical Imperative Formulas and Relation between them in Kant's Moral Thought,https://mph.ui.ac.ir/article_26903_en.html?lang=fa
MD White,,"… an often misunderstood component of Kant's ethics. The categorical imperative, as well as 
the … actual lives, complex as they are: ‘the categorical imperative is not itself a moral rule – it is …",In defense of deontology and Kant: A reply to van Staveren,https://www.tandfonline.com/doi/abs/10.1080/09538250902834103
